NAME,GEO_ID,B24011_001E,B24011_010E
"Albany County, New York",36001,46776,53528
"Allegany County, New York",36003,31864,35106
"Bronx County, New York",36005,34212,45635
"Broome County, New York",36007,36718,45294
"Cattaraugus County, New York",36009,35488,42543
"Cayuga County, New York",36011,40155,42821
"Chautauqua County, New York",36013,35247,43501
"Chemung County, New York",36015,38317,49739
"Chenango County, New York",36017,39146,53073
"Clinton County, New York",36019,40803,46804
"Columbia County, New York",36021,41468,47201
"Cortland County, New York",36023,37557,39715
"Delaware County, New York",36025,35848,45167
"Dutchess County, New York",36027,48631,55468
"Erie County, New York",36029,42497,49482
"Essex County, New York",36031,36891,43696
"Franklin County, New York",36033,40462,54864
"Fulton County, New York",36035,37737,48857
"Genesee County, New York",36037,40082,42680
"Greene County, New York",36039,40554,48947
"Hamilton County, New York",36041,36311,26667
"Herkimer County, New York",36043,38321,44203
"Jefferson County, New York",36045,36180,40573
"Kings County, New York",36047,46888,60417
"Lewis County, New York",36049,38180,44452
"Livingston County, New York",36051,40122,49435
"Madison County, New York",36053,38689,42580
"Monroe County, New York",36055,42904,50774
"Montgomery County, New York",36057,37504,44485
"Nassau County, New York",36059,59972,71382
"New York County, New York",36061,73667,77611
"Niagara County, New York",36063,40406,50151
"Oneida County, New York",36065,40207,49245
"Onondaga County, New York",36067,43998,53317
"Ontario County, New York",36069,42874,51150
"Orange County, New York",36071,47120,58169
"Orleans County, New York",36073,37126,41939
"Oswego County, New York",36075,36568,43379
"Otsego County, New York",36077,35834,47936
"Putnam County, New York",36079,54707,58436
"Queens County, New York",36081,44067,55160
"Rensselaer County, New York",36083,48688,49458
"Richmond County, New York",36085,54313,58792
"Rockland County, New York",36087,49641,52123
"St. Lawrence County, New York",36089,37319,46768
"Saratoga County, New York",36091,53389,51045
"Schenectady County, New York",36093,44424,52186
"Schoharie County, New York",36095,40959,41800
"Schuyler County, New York",36097,40299,54375
"Seneca County, New York",36099,38141,36865
"Steuben County, New York",36101,39882,47800
"Suffolk County, New York",36103,53939,64109
"Sullivan County, New York",36105,41917,44890
"Tioga County, New York",36107,39567,44522
"Tompkins County, New York",36109,38104,43102
"Ulster County, New York",36111,43725,55654
"Warren County, New York",36113,44554,53189
"Washington County, New York",36115,38912,44505
"Wayne County, New York",36117,39623,41711
"Westchester County, New York",36119,59191,70577
"Wyoming County, New York",36121,40133,41175
"Yates County, New York",36123,33302,39449
